question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_correctness
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?","[""Joseph John Ã¢â‚¬Å“JoeÃ¢â‚¬\x9d Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.""]"," The question does not provide any context about Joe Heck's association with the mentioned individuals or companies. Therefore, I cannot determine the state where Catherine Cortez Masto served as the Attorney General based on the provided information.",Nevada,0.25,0,0.542373997
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?","['Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.']", The Wolfhounds were founded first.,The Wolfhounds,0,0.548017311,0.684050719
How old is the female main protagonist of Catching Fire?,"['Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.']"," I'm sorry for any confusion, but the context provided doesn't seem to relate to ""Catching Fire"" or its female main protagonist, Katniss Everdeen. The text you've shared appears to be from a different work, ""The Tale of Bygone Years,"" which is part of ""The Lavrentian Chronicle."" Therefore, I can't provide an accurate answer about the age of Katniss Everdeen in this context.",16-year-old,0,0,0.04284586
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,"['The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What\'s Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.']", The director of the 2003 film with scenes filmed at the Quality Cafe in Los Angeles is Todd Phillips.,Todd Phillips,1,0.990687091,0.508702057
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?","[' It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.']"," I'm sorry for any confusion, but the provided passages do not contain information about the New Faces of 1952 musical revue or the career of a young performer from that show. Therefore, I don't have an answer to your question.",Carol Lawrence,0,0,0.418442968
Were Pavel Urysohn and Leonid Levin known for the same type of work?,"[""Pavel Samuilovich Urysohn (ÃÅ¸ÃÂ°ÃŒ\x81ÃÂ²ÃÂµÃÂ» ÃÂ¡ÃÂ°ÃÂ¼Ã‘Æ’ÃÂ¸ÃŒ\x81ÃÂ»ÃÂ¾ÃÂ²ÃÂ¸Ã‘â€¡ ÃÂ£Ã‘â‚¬Ã‘â€¹Ã‘\x81ÃÂ¾ÃŒ\x81ÃÂ½ ) (February 3, 1898 Ã¢â‚¬â€œ August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Ãâ€ºÃÂµÃÂ¾ÃÂ½ÃÂ¸ÃŒ\x81ÃÂ´ Ã\x90ÃÂ½ÃÂ°Ã‘â€šÃÂ¾ÃŒ\x81ÃÂ»Ã‘Å’ÃÂµÃÂ²ÃÂ¸Ã‘â€¡ Ãâ€ºÃÂµÃŒ\x81ÃÂ²ÃÂ¸ÃÂ½ ; Ukrainian: Ãâ€ºÃÂµÃÂ¾ÃÂ½Ã‘â€“ÃŒ\x81ÃÂ´ Ã\x90ÃÂ½ÃÂ°Ã‘â€šÃÂ¾ÃŒ\x81ÃÂ»Ã‘â€“ÃÂ¹ÃÂ¾ÃÂ²ÃÂ¸Ã‘â€¡ Ãâ€ºÃÂµÃŒ\x81ÃÂ²Ã‘â€“ÃÂ½ ; born November 2, 1948) is a Soviet-American computer scientist.""]"," No, Pavel Urysohn was a mathematician, while Leonid Levin is a computer scientist. They were not known for the same type of work.",no,1,0.906780354,0.774842119
Where is the company that purchased Aixam based in?,"[' On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.']"," I don't have information about the company that purchased Aixam specifically. However, Aixam is a French automobile manufacturer, so it was likely purchased by a company based in France or another country.","Roseau, Minnesota, USA",0.25,0,0.322246539
"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ","['The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great FallsÃ¢â‚¬â€œBillings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.']"," I'm sorry for any confusion, but there seems to be no information provided about the University of Providence or its affiliation with a specific faith. The context only discusses Magellan of Virginia, a behavioral health services administrator in Virginia.",Roman Catholic,0.25,0,0.664670711
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,"['Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2\'s ""I Still Haven\'t Found What I\'m Looking For"", between 1988 and 1991.""I Still Haven\'t Found What I\'m Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album\'s second single in May 1987.']"," The song ""I Still Haven't Found What I'm Looking For"" was not originally from an album; it is a track by Irish rock band U2 from their 1987 album ""The Joshua Tree"". Pauline Henry became known for her cover version of this song with the Scottish band The Chimes.",The Joshua Tree,0.8,0.446110849,0.312628362
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,"["" All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.""]", The context provided does not mention any connection to Guitars for Wounded Warriors or New York County.,Ulster County,0,0,0.550474718
"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""","['""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 Ã¢â‚¬â€œ April 6, 1998) was an American country music singer-songwriter and one of country music\'s best-known artists and biggest-selling female singers.']"," Tammy Wynette, born in May 1942, sang a duet with her ex-husband George Jones, who released the song ""The Battle"" the same year.",Tammy Wynette,0.666666667,0.458800464,0.757236046
"Who was born first, Francis Nethersole or Elizabeth Stuart?","['Sir Francis Nethersole (1587Ã¢â‚¬â€œ1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 Ã¢â‚¬â€œ 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.']", I don't have information about the birth dates of Francis Nethersole and Elizabeth Stuart in this context.,Sir Francis Nethersole,1,0,0.660613602
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,"['Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.']"," I'm sorry for any confusion, but the provided context doesn't seem to relate to the Hacker-Pschorr Brewery or its compliance with German regulations. The information pertains to Square, Inc.'s Consolidated Statements of Operations. If you have a different question regarding Square, Inc., I'd be happy to help! For questions about Hacker-Pschorr Brewery and German regulations, I would recommend consulting resources specific to that topic.",ingredients in beer,0.75,0,
"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?","[' Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 Ã¢â‚¬â€œ 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.']", The Welsh member who died on 10 April 2016 from PSI is Dennis Howard Marks.,Dennis Howard Marks,0.5,0.551930547,0.760384361
Are Gin and tonic and Paloma both cocktails based on tequila?,"['A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.']"," No, neither Gin & Tonic nor Paloma are based on tequila. Gin & Tonic is made with gin and tonic water, while Paloma is made with tequila, grapefruit juice, and lime juice.",no,0.75,0.846281663,0.366871279
Who is older Glenn Hughes or Ross Lynch?,"['Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.']", I don't have information to compare the ages of Glenn Hughes and Ross Lynch.,Glenn Hughes,0,0,
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","['""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.']", Alf Clausen was born in 1941.,"March 28, 1941",1,0.294736389,
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,"['The Southern Railway (German: ""SÃƒÂ¼dbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to MÃƒÂ¼rzzuschlag was the first mountain railway in Europe built with a standard gauge track.']", I don't have information about the Southern Railway in Austria and its track type.,standard gauge track,0.5,0,0.473175236
"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?","['The A Head Full of Dreams Tour is the seventh concert tour currently being undertaken by British alternative rock band Coldplay, launched in support of their namesake seventh studio album ""A Head Full of Dreams"". The first show of the tour was held at the Estadio Ciudad de La Plata in La Plata, Argentina, on 31 March 2016 and is set to conclude at the same venue on 15 November 2017. It is also known popularly as the Estadio ÃƒÅ¡nico and is owned by the Province of Buenos Aires, administered jointly by the provincial government, the Municipality of La Plata, and the football clubs Estudiantes de La Plata and Gimnasia y Esgrima de la Plata.']", I don't have information about specific concert tours or their venues.,Province of Buenos Aires,0.5,0,0.395101798
"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?","[""Hat Check Girl is a 1932 American Pre-Code comedy film directed by Sidney Lanfield and written by Barry Conners and Philip Klein. The film stars Sally Eilers, Ben Lyon, Ginger Rogers and Monroe Owsley.Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 Ã¢â‚¬â€œ April 25, 1995) was an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, partnered with Fred Astaire.""]",1932 (Hat Check Girl),1932,1,0.377283673,0.680117534
"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?","['""Just the Two of Us"" is a 1981 R&B single written by Bill Withers, William Salter and Ralph MacDonald, which was recorded by Grover Washington Jr. and Bill Withers. An edited version reached number two on the ""Billboard"" Hot 100, staying there for 3 weeks, behind ""Morning Train (9 to 5)"" by Sheena Easton and ""Bette Davis Eyes"" by Kim Carnes.""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes. DeShannon recorded it in 1974; Carnes\'s 1981 version spent nine weeks at No. 1 on the ""Billboard"" Hot 100 and was ""Billboard""\' s biggest hit of 1981.']",9 weeks,nine,0.5,0.415232171,0.884807991
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,"['Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.']"," ""Salaam Bombay"" was the Oscar-nominated film written by the screenwriter who also wrote the 1991 romantic drama ""Mississippi Masala"".",Salaam Bombay,1,0.452170411,0.91127654
Are both Tim McIlrath and Spike Slawson American punk rock musicians?,"['Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin\' Utters, Filthy Thievin\' Bastards, Re-Volts, and Uke-Hunt.']"," Yes, both Tim McIlrath and Spike Slawson are American punk rock musicians.",yes,1,0.984970319,0.806810545
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?","['Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander. Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988Ã¢â‚¬â€œ1997), for which he won a Golden Globe Award for Best Actor in 1993.']"," Zooey Deschanel, who starred in Gigantic.",Zooey Deschanel,0.5,0.588923797,0.785058576
"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ","[' Gabby Logan and Vernon Kay present the show, whilst Team GB Olympic Bronze Medal winning diver Tom Daley is the expert mentor to the celebrities. Tom Daley specialises in the 10-metre platform event and is a double World champion in the event; he won the 2009 FINA World Championionship in the individual event at the age of 15, before regaining it in 2017.']", Tom Daley won the 2009 FINA World Championship in the individual event at the age of 15.,15,1,0.590692322,0.810587142
"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?","[' Following the poor chart performance, ""I Got a Thang for You"" featuring Keyshia Cole, was released as the album\'s second single.Keyshia Cole (born October 15, 1981) is an American singer/songwriter, record producer, business woman, and television personality.']"," Keyshia Cole, born in Oakland, California.",Keyshia Cole,0.333333333,0.242057586,0.702851733
Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,"[' In the episode, Homer starts a bowling team with Moe, Apu, and Otto. When Mr. Burns discovers the team was funded with his money, he insists on joining. He is the school bus driver for Springfield Elementary School.']", I don't have information about who funds the bowling team that includes the school bus driver for Springfield Elementary School.,Mr. Burns,0.5,0,0.397657818
what is the connection between Peter O'Meara and Norman Dike?,"[' Lauded for his work on the London stage he came to the screen in the groundbreaking HBO series ""Band of Brothers"" playing 1st Lt Norman Dike. Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O\'Meara.']"," I don't have information about specific individuals (Peter O'Meara and Norman Dike) in this context. The provided data refers to financial statements, not personal relationships or connections.",Band of Brothers,0.6,0,0.501443969
Who developed the prototype pacemaker used by the 34th President of the USA?,"['R Adams Cowley (July 25, 1917 Ã¢â‚¬â€œ October 27, 1991), the ""Father of Trauma Medicine,"" was an American surgeon considered a pioneer in emergency medicine and the treatment of shock trauma. He is also known for being one of the first surgeons to perform open-heart surgery and invented both a surgical clamp that bears his name and a prototype pacemaker that was used by Dwight D. Eisenhower.Dwight David ""Ike"" Eisenhower ( ; October 14, 1890 Ã¢â‚¬â€œ March 28, 1969) was an American politician and Army general who served as the 34th President of the United States from 1953 until 1961.']", R Adams Cowley developed the prototype pacemaker used by Dwight D. Eisenhower.,R Adams Cowley,0.5,0.814688061,0.857269565
Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,"['Bizarre was a British alternative magazine published from 1997 to 2015. It was published by Dennis Publishing, and was a sister publication to the ""Fortean Times"".Fortean Times is a British monthly magazine devoted to the anomalous phenomena popularised by Charles Fort. Previously published by John Brown Publishing (from 1991 to 2001) and then I Feel Good Publishing (2001 to 2005), it is now published by Dennis Publishing Ltd.']", Dennis Publishing has published both Bizarre and Fortean Times.,Dennis Publishing,1,0.60929864,0.673598056
"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?","['""Friends in Low Places"" is a song performed by American country pop artist Garth Brooks. It was released on August 6, 1990 as the lead single from his album ""No Fences"". It was released on August 27, 1990, and reached #1 on ""Billboard\'s"" Top Country Albums chart.']"," Garth Brooks performed the lead single on the album ""Friends in Low Places"" from the album ""No Fences"".",Garth Brooks,0.5,0.828526424,0.644638969
"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?","[""Portugal. The group consists of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk. He is the lead singer and guitarist in the Portland, Oregon rock band Portugal. Gourley is also a visual artist, who often uses the alias The Fantastic The.""]"," The lead singer and guitarist in the Portland, Oregon rock band you mentioned is not identified by an alias in the provided context.",The Fantastic The,0.5,0,0.530429763
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"[' He was born in 1972 in Enugu. The city had a population of 722,664 according to the 2006 Nigerian census.']"," I'm sorry for any inconvenience, but I don't have information about specific individuals like James Iroha Uchechukwu. The data provided pertains to cities and regions in Moldova as of the 2014 census, not individual populations. To find out more about James Iroha Uchechukwu's place of birth, you would need to look for that information elsewhere.",722664,0.4,0,0.749133314
What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,"['D.C. Cab (also known as Street Fight) is a 1983 American comedy film, starring Max Gail, Adam Baldwin, Mr. T, Charlie Barnett, Gary Busey, Marsha Warfield, and Whitman Mayo. He most notably portrayed the role of Detective Stan ""Wojo"" Wojciehowicz on the television sitcom ""Barney Miller"".']"," Max Gail, who played Detective Stan ""Wojo"" Wojciehowicz in D.C. Cab, also had a role in the TV series Barney Miller.",Max Gail,1,0.771871132,0.848967824
Maurice Hines and his brother were famous for what?,"['Hot Feet is a jukebox musical featuring the music of Earth, Wind & Fire, a book by Heru Ptah and was conceived, directed, and choreographed by Maurice Hines. He is the brother of dancer Gregory Hines.']", Maurice Hines and his brother were famous for dance and entertainment.,dancer Gregory Hines,0.5,0.589903256,0.684955349
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,[' The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations. There are 13 mi of levees and floodwalls that line the sides of the canals.']," No, the New Orleans Outfall Canals are not the same length as the Augusta Canal.",yes,0,1,0.771965893
In which stadium do the teams owned by Myra Kraft's husband play?,"['Myra Hiatt Kraft (""nÃƒÂ©e"" Myra Nathalie Hiatt; December 27, 1942 Ã¢â‚¬â€œ July 20, 2011) was an American philanthropist and the wife of New England Patriots and New England Revolution owner Robert Kraft. His sports holdings include: the National Football League\'s New England Patriots, Major League Soccer\'s New England Revolution and the stadium in which both teams play, Gillette Stadium.']"," Gillette Stadium, home of the New England Patriots, was owned by Robert Kraft (Myra Kraft's husband) at the time of Super Bowl III. However, the Super Bowl III championship team was not the New England Patriots as they were founded later in 1976. The Super Bowl III champion was the New York Jets.",Gillette Stadium,0.6,0.298358032,0.631005464
"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?","[' Chuck and Sarah are assigned to train under Craig and Laura Turner (Fred Willard and Swoosie Kurtz), a married CIA team who, despite their impeccable record, hate one another. She is an Emmy Award winner and two-time Tony Award winner.']"," Sarah Jessica Parker is the name of the Emmy Award winner and two-time Tony Award winner who appeared in episode 15 of the third season of ""Chuck.""",Swoosie Kurtz,0,0.743741073,0.395895783
"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?","['Rainbow Terrace, now known as Lullwater Estate, is the Mediterranean-style Atlanta mansion built for Lucy Beall Candler Owens Heinz (1882Ã¢â‚¬â€œ1962), daughter of Coca-Cola co-founder Asa Griggs Candler.Asa Griggs Candler (December 30, 1851 Ã¢â‚¬â€œ March 12, 1929) was an American business tycoon who founded the Coca-Cola Company. He also served as the 41st Mayor of Atlanta, Georgia from 1916 to 1919.']", I don't have that specific information.,Lullwater Estate,1,0,0.409379791
Who invented the type of script used in autographs?,"['An autograph in Assyriology is the hand-copy of a cuneiform clay-tablet.Cuneiform script ( or or ), one of the earliest systems of writing, was invented by the Sumerians.']", The Sumerians invented the cuneiform script used in autographs.,the Sumerians,1,0.663521501,0.650721645
