Unnamed: 0,id,contexts,question,ground_truth,label,source_ds,answer
3925,halueval-25,"['The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What\'s Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.']",Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,PASS,halueval,"Todd Phillips is the director of the 2003 film ""Old School"" which features scenes filmed at the Quality Cafe in Los Angeles."
3926,halueval-26,"[' It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.']","New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,PASS,halueval,New Faces of 1952 helped jump start the careers of both Paul Lynde (young performer) and Carol Lawrence (American actress).
3927,halueval-27,"[""Pavel Samuilovich Urysohn (ÐŸÐ°ÌÐ²ÐµÐ» Ð¡Ð°Ð¼ÑƒÐ¸ÌÐ»Ð¾Ð²Ð¸Ñ‡ Ð£Ñ€Ñ‹ÑÐ¾ÌÐ½ ) (February 3, 1898 â€“ August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Ð›ÐµÐ¾Ð½Ð¸ÌÐ´ ÐÐ½Ð°Ñ‚Ð¾ÌÐ»ÑŒÐµÐ²Ð¸Ñ‡ Ð›ÐµÌÐ²Ð¸Ð½ ; Ukrainian: Ð›ÐµÐ¾Ð½Ñ–ÌÐ´ ÐÐ½Ð°Ñ‚Ð¾ÌÐ»Ñ–Ð¹Ð¾Ð²Ð¸Ñ‡ Ð›ÐµÌÐ²Ñ–Ð½ ; born November 2, 1948) is a Soviet-American computer scientist.""]",Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,PASS,halueval,"No, Pavel Urysohn was a mathematician who made significant contributions to dimension theory and topology, while Leonid Levin is a computer scientist."
3934,halueval-34,"[' On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.']",Where is the company that purchased Aixam based in?,"Roseau, Minnesota, USA",PASS,halueval,"The company that purchased Aixam is based in Roseau, Minnesota, USA (Polaris Industries)."
3941,halueval-41,"['The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Fallsâ€“Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.']","Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",Roman Catholic,PASS,halueval,"The University of Providence, a private Roman Catholic university."
3942,halueval-42,"['Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2\'s ""I Still Haven\'t Found What I\'m Looking For"", between 1988 and 1991.""I Still Haven\'t Found What I\'m Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album\'s second single in May 1987.']",Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,PASS,halueval,"The song ""I Still Haven't Found What I'm Looking For"" is from the album ""The Joshua Tree""."
3943,halueval-43,"["" All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.""]",Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,PASS,halueval,"The ""Guitars for Wounded Warriors"" album was recorded in Ulster County, New York."
3944,halueval-44,"['""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 â€“ April 6, 1998) was an American country music singer-songwriter and one of country music\'s best-known artists and biggest-selling female singers.']","What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,PASS,halueval,"Tammy Wynette, an American country music singer-songwriter born in May 1942, sang a duet with her ex-husband the same year as George Jones's song ""The Battle."""
3945,halueval-45,"['Sir Francis Nethersole (1587â€“1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 â€“ 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.']","Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole,PASS,halueval,Elizabeth Stuart was born before Sir Francis Nethersole.
3946,halueval-46,"['Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.']",What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,PASS,halueval,"The Hacker-Pschorr Brewery must limit their beer ingredients to water, malted barley, hops, and yeast as per the German Beer Purity Law."
3947,halueval-47,"[' Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 â€“ 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.']","Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks,PASS,halueval,Dennis Howard Marks was a Welsh member of the Psychedelic Shamanistic Institute (PSI) who died on 10 April 2016.
3949,halueval-49,"['A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.']",Are Gin and tonic and Paloma both cocktails based on tequila?,no,PASS,halueval,"No, neither a Gin and Tonic nor a Paloma are cocktails based on tequila."
3950,halueval-50,"['Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.']",Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,PASS,halueval,Glenn Hughes is older than Ross Lynch.
3951,halueval-51,"['""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.']","In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941",PASS,halueval,"Alf Clausen, the creator of the current arrangement of the ""Simpsons"" theme, was born in 1941."
3952,halueval-52,"['The Southern Railway (German: ""SÃ¼dbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to MÃ¼rzzuschlag was the first mountain railway in Europe built with a standard gauge track.']",The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,PASS,halueval,"The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe, which uses a standard gauge track."
3956,halueval-56,"['The A Head Full of Dreams Tour is the seventh concert tour currently being undertaken by British alternative rock band Coldplay, launched in support of their namesake seventh studio album ""A Head Full of Dreams"". The first show of the tour was held at the Estadio Ciudad de La Plata in La Plata, Argentina, on 31 March 2016 and is set to conclude at the same venue on 15 November 2017. It is also known popularly as the Estadio Ãšnico and is owned by the Province of Buenos Aires, administered jointly by the provincial government, the Municipality of La Plata, and the football clubs Estudiantes de La Plata and Gimnasia y Esgrima de la Plata.']","A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,PASS,halueval,"The Estadio Ãšnico, where the first show of A Head Full of Dreams Tour was held, is owned by the Province of Buenos Aires."
3958,halueval-58,"[""Hat Check Girl is a 1932 American Pre-Code comedy film directed by Sidney Lanfield and written by Barry Conners and Philip Klein. The film stars Sally Eilers, Ben Lyon, Ginger Rogers and Monroe Owsley.Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 â€“ April 25, 1995) was an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, partnered with Fred Astaire.""]","The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,PASS,halueval,1932 (Hat Check Girl)
3959,halueval-59,"['""Just the Two of Us"" is a 1981 R&B single written by Bill Withers, William Salter and Ralph MacDonald, which was recorded by Grover Washington Jr. and Bill Withers. An edited version reached number two on the ""Billboard"" Hot 100, staying there for 3 weeks, behind ""Morning Train (9 to 5)"" by Sheena Easton and ""Bette Davis Eyes"" by Kim Carnes.""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes. DeShannon recorded it in 1974; Carnes\'s 1981 version spent nine weeks at No. 1 on the ""Billboard"" Hot 100 and was ""Billboard""\' s biggest hit of 1981.']","An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,PASS,halueval,"9 weeks (behind ""Bette Davis Eyes"")"
3966,halueval-66,"['Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.']",Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,Salaam Bombay,PASS,halueval,"The Oscar-nominated film ""Salaam Bombay"" was written by the same screenwriter who wrote the 1991 romantic drama ""Mississippi Masala""."
3967,halueval-67,"['Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin\' Utters, Filthy Thievin\' Bastards, Re-Volts, and Uke-Hunt.']",Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,PASS,halueval,"Yes, both Tim McIlrath and Spike Slawson are American punk rock musicians."
3968,halueval-68,"['Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander. Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988â€“1997), for which he won a Golden Globe Award for Best Actor in 1993.']","The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel,PASS,halueval,"John Goodman, who won a Golden Globe for his role in ""Roseanne"", starred alongside Zooey Deschanel in the film 'Gigantic'."
3969,halueval-69,"[' Gabby Logan and Vernon Kay present the show, whilst Team GB Olympic Bronze Medal winning diver Tom Daley is the expert mentor to the celebrities. Tom Daley specialises in the 10-metre platform event and is a double World champion in the event; he won the 2009 FINA World Championionship in the individual event at the age of 15, before regaining it in 2017.']","The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",15,PASS,halueval,Tom Daley won the 2009 FINA World Championship in the individual event at the age of 15.
3970,halueval-70,"[' Following the poor chart performance, ""I Got a Thang for You"" featuring Keyshia Cole, was released as the album\'s second single.Keyshia Cole (born October 15, 1981) is an American singer/songwriter, record producer, business woman, and television personality.']","Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",Keyshia Cole,PASS,halueval,"Keyshia Cole, born in Oakland, California."
3973,halueval-73,"[' In the episode, Homer starts a bowling team with Moe, Apu, and Otto. When Mr. Burns discovers the team was funded with his money, he insists on joining. He is the school bus driver for Springfield Elementary School.']",Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,Mr. Burns,PASS,halueval,"Mr. Burns funds the bowling team, which includes the school bus driver for Springfield Elementary School (Moe, Apu, and Otto)."
3975,halueval-75,"[' Lauded for his work on the London stage he came to the screen in the groundbreaking HBO series ""Band of Brothers"" playing 1st Lt Norman Dike. Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O\'Meara.']",what is the connection between Peter O'Meara and Norman Dike?,Band of Brothers,PASS,halueval,"Peter O'Meara played 1st Lt Norman Dike in the HBO miniseries ""Band of Brothers."""
3977,halueval-77,"['R Adams Cowley (July 25, 1917 â€“ October 27, 1991), the ""Father of Trauma Medicine,"" was an American surgeon considered a pioneer in emergency medicine and the treatment of shock trauma. He is also known for being one of the first surgeons to perform open-heart surgery and invented both a surgical clamp that bears his name and a prototype pacemaker that was used by Dwight D. Eisenhower.Dwight David ""Ike"" Eisenhower ( ; October 14, 1890 â€“ March 28, 1969) was an American politician and Army general who served as the 34th President of the United States from 1953 until 1961.']",Who developed the prototype pacemaker used by the 34th President of the USA?,R Adams Cowley,PASS,halueval,R Adams Cowley developed the prototype pacemaker used by the 34th President of the USA.
3978,halueval-78,"['Bizarre was a British alternative magazine published from 1997 to 2015. It was published by Dennis Publishing, and was a sister publication to the ""Fortean Times"".Fortean Times is a British monthly magazine devoted to the anomalous phenomena popularised by Charles Fort. Previously published by John Brown Publishing (from 1991 to 2001) and then I Feel Good Publishing (2001 to 2005), it is now published by Dennis Publishing Ltd.']",Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,Dennis Publishing,PASS,halueval,Dennis Publishing has published both Bizarre and the Fortean Times.
3979,halueval-79,"['""Friends in Low Places"" is a song performed by American country pop artist Garth Brooks. It was released on August 6, 1990 as the lead single from his album ""No Fences"". It was released on August 27, 1990, and reached #1 on ""Billboard\'s"" Top Country Albums chart.']","Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks,PASS,halueval,"Garth Brooks performed the lead single on the album ""Friends in Low Places"", from ""No Fences""."
3981,halueval-81,"[""Portugal. The group consists of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk. He is the lead singer and guitarist in the Portland, Oregon rock band Portugal. Gourley is also a visual artist, who often uses the alias The Fantastic The.""]","The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,PASS,halueval,"The Fantastic The is the alias of Portugal. The Man's lead singer and guitarist, John Gourley."
3984,halueval-84,"[' He was born in 1972 in Enugu. The city had a population of 722,664 according to the 2006 Nigerian census.']",According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"722,664",PASS,halueval,"The population of the city where James Iroha Uchechukwu was born, according to the 2006 census, was 722,664."
3985,halueval-85,"['D.C. Cab (also known as Street Fight) is a 1983 American comedy film, starring Max Gail, Adam Baldwin, Mr. T, Charlie Barnett, Gary Busey, Marsha Warfield, and Whitman Mayo. He most notably portrayed the role of Detective Stan ""Wojo"" Wojciehowicz on the television sitcom ""Barney Miller"".']",What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,Max Gail,PASS,halueval,"Max Gail, who played Detective Stan ""Wojo"" Wojciehowicz in D.C. Cab, also had a role in the TV series Barney Miller."
3988,halueval-88,"['Hot Feet is a jukebox musical featuring the music of Earth, Wind & Fire, a book by Heru Ptah and was conceived, directed, and choreographed by Maurice Hines. He is the brother of dancer Gregory Hines.']",Maurice Hines and his brother were famous for what?,dancer Gregory Hines,PASS,halueval,"Maurice Hines and his brother Gregory Hines were famous for their work in dance and entertainment, with Maurice being known as a conceived, directed, and choreographed of the jukebox musical 'Hot Feet' featuring Earth, Wind & Fire music."
3989,halueval-89,[' The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations. There are 13 mi of levees and floodwalls that line the sides of the canals.'],Are the New Orleans Outfall Canals the same length as the Augusta Canal?,yes,PASS,halueval,"No, the Augusta Canal is approximately 13 miles long, while the New Orleans Outfall Canals are of varying lengths and collectively much longer."
3990,halueval-90,"['Myra Hiatt Kraft (""nÃ©e"" Myra Nathalie Hiatt; December 27, 1942 â€“ July 20, 2011) was an American philanthropist and the wife of New England Patriots and New England Revolution owner Robert Kraft. His sports holdings include: the National Football League\'s New England Patriots, Major League Soccer\'s New England Revolution and the stadium in which both teams play, Gillette Stadium.']",In which stadium do the teams owned by Myra Kraft's husband play?,Gillette Stadium,PASS,halueval,"The teams owned by Myra Kraft's husband, the New England Patriots and New England Revolution, play at Gillette Stadium."
3993,halueval-93,"[' Chuck and Sarah are assigned to train under Craig and Laura Turner (Fred Willard and Swoosie Kurtz), a married CIA team who, despite their impeccable record, hate one another. She is an Emmy Award winner and two-time Tony Award winner.']","an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",Swoosie Kurtz,PASS,halueval,"Swoosie Kurtz, who portrayed Laura Turner in ""Chuck"", is an Emmy Award winner and two-time Tony Award winner."
3994,halueval-94,"['Rainbow Terrace, now known as Lullwater Estate, is the Mediterranean-style Atlanta mansion built for Lucy Beall Candler Owens Heinz (1882â€“1962), daughter of Coca-Cola co-founder Asa Griggs Candler.Asa Griggs Candler (December 30, 1851 â€“ March 12, 1929) was an American business tycoon who founded the Coca-Cola Company. He also served as the 41st Mayor of Atlanta, Georgia from 1916 to 1919.']","What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate,PASS,halueval,"The current name of the Atlanta mansion built for the daughter of the 41st Mayor of Atlanta, Georgia is Lullwater Estate."
3995,halueval-95,"['An autograph in Assyriology is the hand-copy of a cuneiform clay-tablet.Cuneiform script ( or or ), one of the earliest systems of writing, was invented by the Sumerians.']",Who invented the type of script used in autographs?,the Sumerians,PASS,halueval,The Sumerians invented the type of script used in autographs (Cuneiform).
4000,halueval-100,"['Prince William, Duke of Gloucester (24 July 1689 â€“ 30 July 1700 ) was the son of Princess Anne, later Queen of England, Ireland and Scotland from 1702, and her husband, Prince George, Duke of Cumberland.Prince George of Denmark and Norway, Duke of Cumberland (Danish: ""JÃ¸rgen"" ; 2 April 165328 October 1708), was the husband of Queen Anne, who reigned over Great Britain from 1702.']","Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Great Britain,PASS,halueval,"Prince William, Duke of Gloucester and Prince George of Denmark were not monarchs as they both predeceased Queen Anne who reigned over Great Britain from 1702."
4004,halueval-104,"[' The team was led by 8th year head coach John Beilein, who was voted 2014 Big Ten Coach of the Year by the Big Ten media.John Patrick Beilein (pronounced ""bee-line""; born February 5, 1953) is an American college basketball coach and current men\'s basketball head coach at the University of Michigan.']",What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,"February 5, 1953",PASS,halueval,"John Beilein, the coach of the 2014-15 Michigan Wolverines men's basketball team, was born on February 5, 1953."
4006,halueval-106,"['The Government of the United Kingdom maintains intelligence agencies within several different government departments. The three main agencies are the Secret Intelligence Service (MI6), the Security Service (MI5), and the Government Communications Headquarters (GCHQ).The Government Communications Headquarters (GCHQ) is an intelligence and security organisation responsible for providing signals intelligence (SIGINT) and information assurance to the government and armed forces of the United Kingdom. Based in ""The Doughnut"" in the suburbs of Cheltenham, GCHQ is the responsibility of the country\'s Secretary of State for Foreign and Commonwealth Affairs, but it is not a part of the Foreign Office and its director ranks as a Permanent Secretary.']",Where is the base of one of the three main British intelligence agencies?,Cheltenham,PASS,halueval,"The base of the Government Communications Headquarters (GCHQ), one of the three main British intelligence agencies, is located in ""The Doughnut"" in the suburbs of Cheltenham."
