question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_correctness
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,"['Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2\'s ""I Still Haven\'t Found What I\'m Looking For"", between 1988 and 1991.""I Still Haven\'t Found What I\'m Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album\'s second single in May 1987.']"," The album is ""The Joshua Tree"".",The Joshua Tree,0,0.2209064,0.939198323
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,"["" All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.""]"," Ulster County, New York",Ulster County,1,0.112777697,0.581539141
"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""","['""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 â€“ April 6, 1998) was an American country music singer-songwriter and one of country music\'s best-known artists and biggest-selling female singers.']", Tammy Wynette,Tammy Wynette,0.5,0.620741527,0.85
"Who was born first, Francis Nethersole or Elizabeth Stuart?","['Sir Francis Nethersole (1587â€“1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 â€“ 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.']", Elizabeth Stuart was born first.,Sir Francis Nethersole,0.5,0.967804299,0.588553569
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,"['Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.']"," Hacker-Pschorr Brewery has to limit their beer ingredients to water, malted barley, hops, and yeast as per German Beer Purity Law (Reinheitsgebot).",ingredients in beer,1,0.658174037,0.727640208
"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?","[' Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 â€“ 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.']"," John Entwistle, a member of PSI, was the Welsh associate who passed away on 10 April 2016.",Dennis Howard Marks,0.333333333,0.302985076,0.555226991
Are Gin and tonic and Paloma both cocktails based on tequila?,"['A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.']"," No, neither a Gin and Tonic nor a Paloma are based on tequila.",no,0.5,0.953153195,0.771456001
Who is older Glenn Hughes or Ross Lynch?,"['Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.']", Glenn Hughes is older than Ross Lynch.,Glenn Hughes,1,0.98967744,0.67529687
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","['""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.']", Alf Clausen was born in 1941.,"March 28, 1941",1,0.294736389,
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,"['The Southern Railway (German: ""SÃ¼dbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to MÃ¼rzzuschlag was the first mountain railway in Europe built with a standard gauge track.']", Standard gauge track,standard gauge track,1,0.659263164,1
"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?","['The A Head Full of Dreams Tour is the seventh concert tour currently being undertaken by British alternative rock band Coldplay, launched in support of their namesake seventh studio album ""A Head Full of Dreams"". The first show of the tour was held at the Estadio Ciudad de La Plata in La Plata, Argentina, on 31 March 2016 and is set to conclude at the same venue on 15 November 2017. It is also known popularly as the Estadio Ãšnico and is owned by the Province of Buenos Aires, administered jointly by the provincial government, the Municipality of La Plata, and the football clubs Estudiantes de La Plata and Gimnasia y Esgrima de la Plata.']", The Estadio Único is owned by the Province of Buenos Aires.,Province of Buenos Aires,1,0.578207817,0.529497258
"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?","[""Hat Check Girl is a 1932 American Pre-Code comedy film directed by Sidney Lanfield and written by Barry Conners and Philip Klein. The film stars Sally Eilers, Ben Lyon, Ginger Rogers and Monroe Owsley.Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 â€“ April 25, 1995) was an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, partnered with Fred Astaire.""]",1932,1932,1,0.433770748,1
"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?","['""Just the Two of Us"" is a 1981 R&B single written by Bill Withers, William Salter and Ralph MacDonald, which was recorded by Grover Washington Jr. and Bill Withers. An edited version reached number two on the ""Billboard"" Hot 100, staying there for 3 weeks, behind ""Morning Train (9 to 5)"" by Sheena Easton and ""Bette Davis Eyes"" by Kim Carnes.""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes. DeShannon recorded it in 1974; Carnes\'s 1981 version spent nine weeks at No. 1 on the ""Billboard"" Hot 100 and was ""Billboard""\' s biggest hit of 1981.']",9 weeks,nine,0.5,0.339537196,0.884807991
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,"['Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.']", Salaam Bombay (1988) was the Oscar-nominated film written by Sooni Taraporevala.,Salaam Bombay,1,0.601018197,0.526782409
Are both Tim McIlrath and Spike Slawson American punk rock musicians?,"['Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin\' Utters, Filthy Thievin\' Bastards, Re-Volts, and Uke-Hunt.']"," Yes, both are American punk rock musicians.",yes,1,0.582271033,0.790280185
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?","['Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander. Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988â€“1997), for which he won a Golden Globe Award for Best Actor in 1993.']", Zooey Deschanel,Zooey Deschanel,0.5,0.484118452,0.625
"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ","[' Gabby Logan and Vernon Kay present the show, whilst Team GB Olympic Bronze Medal winning diver Tom Daley is the expert mentor to the celebrities. Tom Daley specialises in the 10-metre platform event and is a double World champion in the event; he won the 2009 FINA World Championionship in the individual event at the age of 15, before regaining it in 2017.']",15 years old,15,1,0.549290702,0.69482613
"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?","[' Following the poor chart performance, ""I Got a Thang for You"" featuring Keyshia Cole, was released as the album\'s second single.Keyshia Cole (born October 15, 1981) is an American singer/songwriter, record producer, business woman, and television personality.']", Keyshia Cole,Keyshia Cole,0.333333333,0.543540144,1
Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,"[' In the episode, Homer starts a bowling team with Moe, Apu, and Otto. When Mr. Burns discovers the team was funded with his money, he insists on joining. He is the school bus driver for Springfield Elementary School.']", Mr. Burns funds the bowling team.,Mr. Burns,0.5,0.666720259,0.912510688
what is the connection between Peter O'Meara and Norman Dike?,"[' Lauded for his work on the London stage he came to the screen in the groundbreaking HBO series ""Band of Brothers"" playing 1st Lt Norman Dike. Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O\'Meara.']"," Peter O'Meara played 1st Lt Norman Dike in the HBO series ""Band of Brothers.""",Band of Brothers,1,0.516501919,0.732393101
Who developed the prototype pacemaker used by the 34th President of the USA?,"['R Adams Cowley (July 25, 1917 â€“ October 27, 1991), the ""Father of Trauma Medicine,"" was an American surgeon considered a pioneer in emergency medicine and the treatment of shock trauma. He is also known for being one of the first surgeons to perform open-heart surgery and invented both a surgical clamp that bears his name and a prototype pacemaker that was used by Dwight D. Eisenhower.Dwight David ""Ike"" Eisenhower ( ; October 14, 1890 â€“ March 28, 1969) was an American politician and Army general who served as the 34th President of the United States from 1953 until 1961.']", R Adams Cowley developed the prototype pacemaker used by Dwight D. Eisenhower.,R Adams Cowley,0.5,0.814688061,0.707269565
Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,"['Bizarre was a British alternative magazine published from 1997 to 2015. It was published by Dennis Publishing, and was a sister publication to the ""Fortean Times"".Fortean Times is a British monthly magazine devoted to the anomalous phenomena popularised by Charles Fort. Previously published by John Brown Publishing (from 1991 to 2001) and then I Feel Good Publishing (2001 to 2005), it is now published by Dennis Publishing Ltd.']", Dennis Publishing,Dennis Publishing,0,0.62545174,0.25
"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?","['""Friends in Low Places"" is a song performed by American country pop artist Garth Brooks. It was released on August 6, 1990 as the lead single from his album ""No Fences"". It was released on August 27, 1990, and reached #1 on ""Billboard\'s"" Top Country Albums chart.']", Garth Brooks,Garth Brooks,1,0.759733734,1
"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?","[""Portugal. The group consists of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk. He is the lead singer and guitarist in the Portland, Oregon rock band Portugal. Gourley is also a visual artist, who often uses the alias The Fantastic The.""]", The Fantastic The,The Fantastic The,1,0.678898946,1
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"[' He was born in 1972 in Enugu. The city had a population of 722,664 according to the 2006 Nigerian census.']","722,664 (Enugu)","722,664",1,0.545068102,0.954419651
What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,"['D.C. Cab (also known as Street Fight) is a 1983 American comedy film, starring Max Gail, Adam Baldwin, Mr. T, Charlie Barnett, Gary Busey, Marsha Warfield, and Whitman Mayo. He most notably portrayed the role of Detective Stan ""Wojo"" Wojciehowicz on the television sitcom ""Barney Miller"".']", Max Gail,Max Gail,1,0.635634702,1
Maurice Hines and his brother were famous for what?,"['Hot Feet is a jukebox musical featuring the music of Earth, Wind & Fire, a book by Heru Ptah and was conceived, directed, and choreographed by Maurice Hines. He is the brother of dancer Gregory Hines.']"," Maurice Hines and his brother Gregory Hines were famous for dancing and acting in various stage, film, and television productions.",dancer Gregory Hines,0.5,0.990345353,0.691230872
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,[' The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations. There are 13 mi of levees and floodwalls that line the sides of the canals.']," No, the Augusta Canal is not the same length as the New Orleans Outfall Canals. The Augusta Canal is approximately 13 miles long, while the New Orleans Outfall Canals are much longer, totaling over 40 miles in length.",yes,0.25,0.942463574,0.439473794
In which stadium do the teams owned by Myra Kraft's husband play?,"['Myra Hiatt Kraft (""nÃ©e"" Myra Nathalie Hiatt; December 27, 1942 â€“ July 20, 2011) was an American philanthropist and the wife of New England Patriots and New England Revolution owner Robert Kraft. His sports holdings include: the National Football League\'s New England Patriots, Major League Soccer\'s New England Revolution and the stadium in which both teams play, Gillette Stadium.']", Gillette Stadium,Gillette Stadium,1,0.40930683,1
"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?","[' Chuck and Sarah are assigned to train under Craig and Laura Turner (Fred Willard and Swoosie Kurtz), a married CIA team who, despite their impeccable record, hate one another. She is an Emmy Award winner and two-time Tony Award winner.']", Sarah Turner (played by Swoosie Kurtz),Swoosie Kurtz,0.5,0.345686624,0.880879841
"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?","['Rainbow Terrace, now known as Lullwater Estate, is the Mediterranean-style Atlanta mansion built for Lucy Beall Candler Owens Heinz (1882â€“1962), daughter of Coca-Cola co-founder Asa Griggs Candler.Asa Griggs Candler (December 30, 1851 â€“ March 12, 1929) was an American business tycoon who founded the Coca-Cola Company. He also served as the 41st Mayor of Atlanta, Georgia from 1916 to 1919.']", Lullwater Estate,Lullwater Estate,1,0.193471543,1
Who invented the type of script used in autographs?,"['An autograph in Assyriology is the hand-copy of a cuneiform clay-tablet.Cuneiform script ( or or ), one of the earliest systems of writing, was invented by the Sumerians.']", The Sumerians invented the Cuneiform script used in autographs.,the Sumerians,1,0.559458544,0.750721645
"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?","['Prince William, Duke of Gloucester (24 July 1689 â€“ 30 July 1700 ) was the son of Princess Anne, later Queen of England, Ireland and Scotland from 1702, and her husband, Prince George, Duke of Cumberland.Prince George of Denmark and Norway, Duke of Cumberland (Danish: ""JÃ¸rgen"" ; 2 April 165328 October 1708), was the husband of Queen Anne, who reigned over Great Britain from 1702.']"," They were not monarchs as they both predeceased their mother, Queen Anne.",Great Britain,1,0.692957008,0.423705383
What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,"[' The team was led by 8th year head coach John Beilein, who was voted 2014 Big Ten Coach of the Year by the Big Ten media.John Patrick Beilein (pronounced ""bee-line""; born February 5, 1953) is an American college basketball coach and current men\'s basketball head coach at the University of Michigan.']"," February 5, 1953","February 5, 1953",1,0.419122236,1
Where is the base of one of the three main British intelligence agencies?,"['The Government of the United Kingdom maintains intelligence agencies within several different government departments. The three main agencies are the Secret Intelligence Service (MI6), the Security Service (MI5), and the Government Communications Headquarters (GCHQ).The Government Communications Headquarters (GCHQ) is an intelligence and security organisation responsible for providing signals intelligence (SIGINT) and information assurance to the government and armed forces of the United Kingdom. Based in ""The Doughnut"" in the suburbs of Cheltenham, GCHQ is the responsibility of the country\'s Secretary of State for Foreign and Commonwealth Affairs, but it is not a part of the Foreign Office and its director ranks as a Permanent Secretary.']"," The base of the Government Communications Headquarters (GCHQ) is in Cheltenham, United Kingdom.",Cheltenham,0.5,0.454432823,0.61974767
"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ","['When a Man Falls in Love () is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and Yeon Woo-jin.Yeon Woo-jin (born Kim Bong-hoe on July 5, 1984) is a South Korean actor.']"," Yeon Woo-jin, born on July 5, 1984.","July 5, 1984",1,0.134531561,0.107404585
What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,"['Deanna Marie Loveland (born April 5, 1989) is an American recording artist, harpist, pianist and fashion designer. Consequently, she began songwriting and in 2005 her original song, ""Shine"" was 1st Runner-Up out of 12,000 entries in USA Weekend Magazine\'s national songwriting competition judged by Simon Cowell and Fantasia Barrino. A month later she signed with a talent agency, appearing in music videos and commercials for companies including Toyota and Target and films including ""A Pure Country Gift II"" and ""Country Strong"".Target Corporation is the second-largest discount store retailer in the United States, behind Walmart, and a component of the S&P 500 Index.']", Target Corporation,Target Corporation,1,0.308209526,0.75
What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ,"['Alma Wade is a major antagonist and key figure in the ""F.E.A.R."" series of first-person shooter horror video games by Monolith Productions, introduced in ""F.E.A.R."" in 2005. The mystery of Alma is the very core of the series.F.E.A.R. First Encounter Assault Recon is a survival horror first-person shooter video game developed by Monolith Productions and published by Sierra Entertainment.']"," F.E.A.R., published by Sierra Entertainment.",F.E.A.R.,1,0.129969372,0.752286492
The Bass Rock Lighthouse was next to what Castle?,"['Canty Bay is a coastal hamlet off the A198, in East Lothian, Scotland, situated opposite the Bass Rock and Tantallon Castle. The Bass Rock Lighthouse was constructed on the rock in 1902, and the remains of an ancient chapel survive.']", Tantallon Castle,Tantallon Castle,0,0.542707483,1
What genre of music is the solo artist that contributed to Real Damage a variant of?,"['Real Damage is a Split EP of American indie rock band Gossip and Electropop solo artist Tracy + the Plastics, it was released on January 25, 2005.Electropop is a variant of synth-pop that places more emphasis on a harder, electronic sound.']", Electropop,synth-pop,1,0.492390412,0.431161583
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,"['Norbert Holm (16 December 1895 â€“ 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 â€“ 14 October 1944) was a German general and military theorist. Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.']", The Desert Fox,the Desert Fox,0.5,0.07616262,0.85
