Unnamed: 0,id,contexts,question,ground_truth,label,source_ds,answer,retrieved_documents
3927,halueval-27,"Pavel Samuilovich Urysohn (ÐŸÐ°ÌÐ²ÐµÐ» Ð¡Ð°Ð¼ÑƒÐ¸ÌÐ»Ð¾Ð²Ð¸Ñ‡ Ð£Ñ€Ñ‹ÑÐ¾ÌÐ½ ) (February 3, 1898 â€“ August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Ð›ÐµÐ¾Ð½Ð¸ÌÐ´ ÐÐ½Ð°Ñ‚Ð¾ÌÐ»ÑŒÐµÐ²Ð¸Ñ‡ Ð›ÐµÌÐ²Ð¸Ð½ ; Ukrainian: Ð›ÐµÐ¾Ð½Ñ–ÌÐ´ ÐÐ½Ð°Ñ‚Ð¾ÌÐ»Ñ–Ð¹Ð¾Ð²Ð¸Ñ‡ Ð›ÐµÌÐ²Ñ–Ð½ ; born November 2, 1948) is a Soviet-American computer scientist.",Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,PASS,halueval," No, Pavel Urysohn was a mathematician known for his contributions to dimension theory and topology, while Leonid Levin is a computer scientist.","[{'content': ""Pavel Samuilovich Urysohn (ÐŸÐ°Ì\x81Ð²ÐµÐ» Ð¡Ð°Ð¼ÑƒÐ¸Ì\x81Ð»Ð¾Ð²Ð¸Ñ‡ Ð£Ñ€Ñ‹Ñ\x81Ð¾Ì\x81Ð½ ) (February 3, 1898 â€“ August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Ð›ÐµÐ¾Ð½Ð¸Ì\x81Ð´ Ð\x90Ð½Ð°Ñ‚Ð¾Ì\x81Ð»ÑŒÐµÐ²Ð¸Ñ‡ Ð›ÐµÌ\x81Ð²Ð¸Ð½ ; Ukrainian: Ð›ÐµÐ¾Ð½Ñ–Ì\x81Ð´ Ð\x90Ð½Ð°Ñ‚Ð¾Ì\x81Ð»Ñ–Ð¹Ð¾Ð²Ð¸Ñ‡ Ð›ÐµÌ\x81Ð²Ñ–Ð½ ; born November 2, 1948) is a Soviet-American computer scientist."", 'score': 5.71484375, 'rank': 1, 'document_id': 'a335f573-93a4-4792-8a20-8c033b967cbb', 'passage_id': 0}]"
3934,halueval-34," On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.",Where is the company that purchased Aixam based in?,"Roseau, Minnesota, USA",PASS,halueval," Roseau, Minnesota, USA","[{'content': 'On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.', 'score': 3.11328125, 'rank': 1, 'document_id': '9fade748-2384-4501-a869-975d00889f7f', 'passage_id': 0}]"
3941,halueval-41,"The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Fallsâ€“Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.","Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",Roman Catholic,PASS,halueval, The University of Providence is a Roman Catholic institution.,"[{'content': 'The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Fallsâ€“Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.', 'score': 5.8515625, 'rank': 1, 'document_id': 'abc99eeb-c131-43a8-9571-37035aa03a96', 'passage_id': 0}]"
3942,halueval-42,"Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2's ""I Still Haven't Found What I'm Looking For"", between 1988 and 1991.""I Still Haven't Found What I'm Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album's second single in May 1987.",Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,PASS,halueval," The album is ""The Joshua Tree"".","[{'content': 'Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2\'s ""I Still Haven\'t Found What I\'m Looking For"", between 1988 and 1991.""I Still Haven\'t Found What I\'m Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album\'s second single in May 1987.', 'score': 6.80859375, 'rank': 1, 'document_id': 'ef708a88-488f-4a78-97d4-35afd7ff43fe', 'passage_id': 0}]"
3943,halueval-43," All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.",Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,PASS,halueval," Ulster County, New York","[{'content': ""All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York."", 'score': 1.689453125, 'rank': 1, 'document_id': '910f9e1e-7142-4037-b404-4edc7a7ba8e7', 'passage_id': 0}]"
3944,halueval-44,"""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 â€“ April 6, 1998) was an American country music singer-songwriter and one of country music's best-known artists and biggest-selling female singers.","What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,PASS,halueval, Tammy Wynette,"[{'content': '""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 â€“ April 6, 1998) was an American country music singer-songwriter and one of country music\'s best-known artists and biggest-selling female singers.', 'score': 6.26953125, 'rank': 1, 'document_id': '84d904d8-b645-4d2e-b582-c1f27a090d46', 'passage_id': 0}]"
3945,halueval-45,"Sir Francis Nethersole (1587â€“1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 â€“ 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.","Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole,PASS,halueval, Elizabeth Stuart was born first.,"[{'content': 'Sir Francis Nethersole (1587â€“1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 â€“ 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.', 'score': 3.703125, 'rank': 1, 'document_id': '50ae074d-dc3a-4a56-8f6e-25755b9e5624', 'passage_id': 0}]"
3946,halueval-46,"Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.",What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,PASS,halueval," Hacker-Pschorr Brewery has to limit their beer ingredients to water, malted barley, hops, and yeast as per German Beer Purity Law (Reinheitsgebot).","[{'content': 'Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.', 'score': 5.62890625, 'rank': 1, 'document_id': 'b61e543f-a2bd-4803-9a77-e0aa9d1e9fe4', 'passage_id': 0}]"
3947,halueval-47," Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 â€“ 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.","Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks,PASS,halueval," John Entwistle, a member of PSI, was the Welsh associate who passed away on 10 April 2016.","[{'content': 'Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 â€“ 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.', 'score': 3.02734375, 'rank': 1, 'document_id': 'be29e20c-c395-4c04-b9a0-8211ebcc0246', 'passage_id': 0}]"
3949,halueval-49,"A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.",Are Gin and tonic and Paloma both cocktails based on tequila?,no,PASS,halueval," No, neither a Gin and Tonic nor a Paloma are based on tequila.","[{'content': 'A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.', 'score': 4.62890625, 'rank': 1, 'document_id': '2499cf4e-1b37-4517-804a-96d336f8ccc4', 'passage_id': 0}]"
3950,halueval-50,"Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.",Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,PASS,halueval, Glenn Hughes is older than Ross Lynch.,"[{'content': 'Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.', 'score': 4.1796875, 'rank': 1, 'document_id': 'd58312f3-e5a7-48eb-8035-5819c24365fb', 'passage_id': 0}]"
3951,halueval-51,"""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.","In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941",PASS,halueval, Alf Clausen was born in 1941.,"[{'content': '""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.', 'score': 5.7109375, 'rank': 1, 'document_id': 'cbe920d2-bd50-4e43-bd53-178cd59091a1', 'passage_id': 0}]"
3952,halueval-52,"The Southern Railway (German: ""SÃ¼dbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to MÃ¼rzzuschlag was the first mountain railway in Europe built with a standard gauge track.",The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,PASS,halueval, Standard gauge track,"[{'content': 'The Southern Railway (German: ""SÃ¼dbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to MÃ¼rzzuschlag was the first mountain railway in Europe built with a standard gauge track.', 'score': 5.6953125, 'rank': 1, 'document_id': '794df2f1-3b61-4a5c-b2b9-ed6e5e077901', 'passage_id': 0}]"
